subescala,instrumento,N,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
riasec_enterprising.csv,riasec,143206,800,10000,1,1,1,1,1,1,1,1,0.9969,0.9793,0.9978,0,0,0,0,0,0,0,0,0,0,0,115.48004031181335
riasec_investigative.csv,riasec,144233,10,10000,0.0501,0.0522,0.0544,0.0027,NA,0.0497,0.039,0.0742,0.0364,0.1604,0.0327,0,0,0,0,10000,0,0,0,0,0,0,80.04921364784241
riasec_investigative.csv,riasec,144233,20,10000,0.072,0.0756,0.0649,0.0017,0.0384,0.0705,0.0351,0.064,0.097,0.2742,0.0491,0,0,0,0,0,0,0,0,0,0,0,81.97091913223267
riasec_investigative.csv,riasec,144233,30,10000,0.1142,0.10780000000000001,0.0921,7e-4,0.0872,0.0935,0.0451,0.0874,0.1866,0.3426,0.0744,0,0,0,0,0,0,0,0,0,0,0,81.4103353023529
riasec_investigative.csv,riasec,144233,80,10000,0.5624,0.377,0.2877,0.0038,0.5528,0.2837,0.2923,0.2203,0.6911,0.6635,0.3422,0,0,0,0,0,0,0,0,0,0,0,76.4555721282959
riasec_investigative.csv,riasec,144233,160,10000,0.9841,0.8133,0.6657,0.4484,0.9512,0.6469,0.8819,0.6961,0.9736,0.9111,0.7523,0,0,0,0,0,0,0,0,0,0,0,78.23034405708313
riasec_investigative.csv,riasec,144233,400,10000,1,1,0.9955,0.9998,1,0.9975,1,0.9499,1,0.9993,0.9986,0,0,0,0,0,0,0,0,0,0,0,91.62206935882568
riasec_investigative.csv,riasec,144233,800,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,117.92016315460204
riasec_realistic.csv,riasec,142472,10,10000,0.1835,0.1625,0.1223,0.0204,NA,0.1447,0.1558,0.1915,0.0789,0.2162,0.1182,0,0,0,0,10000,0,0,0,0,0,0,74.93433260917664
riasec_realistic.csv,riasec,142472,20,10000,0.4413,0.3516,0.2229,0.0687,0.1684,0.2965,0.3416,0.262,0.1242,0.4029,0.292,0,0,0,0,0,0,0,0,0,0,0,76.21717095375061
riasec_realistic.csv,riasec,142472,30,10000,0.6922,0.5466,0.3611,0.1253,0.2453,0.4503,0.5678,0.3936,0.1378,0.5474,0.4298,0,0,0,0,0,0,0,0,0,0,0,75.41362452507019
riasec_realistic.csv,riasec,142472,80,10000,0.9988,0.9841,0.9179,0.6416,0.7772,0.9351,0.9951,0.9501,0.1521,0.8981,0.9246,0,0,0,0,0,0,0,0,0,0,0,69.73662972450256
riasec_realistic.csv,riasec,142472,160,10000,1,1,0.9998,0.9978,0.9995,0.9998,1,0.9998,0.1437,0.9949,0.9996,0,0,0,0,0,0,0,0,0,0,0,72.1449966430664
riasec_realistic.csv,riasec,142472,400,10000,1,1,1,1,1,1,1,1,0.1574,1,1,0,0,0,0,0,0,0,0,0,0,0,85.83911180496216
riasec_realistic.csv,riasec,142472,800,10000,1,1,1,1,1,1,1,1,0.1901,1,1,0,0,0,0,0,0,0,0,0,0,0,106.95155453681946
riasec_social.csv,riasec,144174,10,10000,0.0589,0.0594,0.0594,0.0063,NA,0.0581,0.0567,0.0758,0.0377,0.122,0.0483,0,0,0,0,10000,0,0,0,0,0,0,111.7927267551422
riasec_social.csv,riasec,144174,20,10000,0.0927,0.0931,0.0839,0.0131,0.0423,0.0902,0.0698,0.0762,0.0445,0.1784,0.0765,0,0,0,0,0,0,0,0,0,0,0,117.19282174110413
riasec_social.csv,riasec,144174,30,10000,0.1282,0.1302,0.1287,0.0151,0.0513,0.1208,0.0877,0.1006,0.0636,0.2288,0.0984,0,0,0,0,0,0,0,0,0,0,0,111.0232424736023
riasec_social.csv,riasec,144174,80,10000,0.4701,0.3873,0.3975,0.0402,0.1724,0.324,0.3031,0.3166,0.1717,0.4675,0.3137,0,0,0,0,0,0,0,0,0,0,0,101.4614634513855
riasec_social.csv,riasec,144174,160,10000,0.9211,0.7835,0.7845,0.4114,0.6404,0.6873,0.7949,0.755,0.3384,0.7375,0.7006,0,0,0,0,0,0,0,0,0,0,0,103.96102023124696
riasec_social.csv,riasec,144174,400,10000,1,0.9999,0.9994,0.9983,0.9996,0.9983,1,0.9948,0.7826,0.985,0.9971,0,0,0,0,0,0,0,0,0,0,0,120.31207752227785
riasec_social.csv,riasec,144174,800,10000,1,1,1,1,1,1,1,1,0.9833,1,1,0,0,0,0,0,0,0,0,0,0,0,150.44609928131104
rse_total.csv,rse,46546,10,10000,0.0453,0.0442,0.0439,0.0044,NA,0.0443,0.0381,0.0702,0.0319,0.1275,0.0306,0,0,0,0,10000,0,0,0,0,0,0,80.06434464454651
rse_total.csv,rse,46546,20,10000,0.0466,0.0541,0.0571,0.0017,0.0252,0.0555,0.0268,0.0694,0.0608,0.1931,0.0322,0,0,0,0,0,0,0,0,0,0,0,83.12119722366333
rse_total.csv,rse,46546,30,10000,0.0554,0.0615,0.0695,7e-4,0.0442,0.0581,0.0223,0.0773,0.1047,0.2148,0.0334,0,0,0,0,0,0,0,0,0,0,0,81.49228429794312
rse_total.csv,rse,46546,100,10000,0.3074,0.2145,0.2483,0.0022,0.3147,0.1653,0.1234,0.3563,0.4826,0.3748,0.1439,0,0,0,0,0,0,0,0,0,0,0,75.23507070541382
rse_total.csv,rse,46546,200,10000,0.8638,0.5724,0.5825,0.1657,0.7255,0.4152,0.5898,0.6426,0.8538,0.6078,0.3805,0,0,0,0,0,0,0,0,0,0,0,80.45532274246216
rse_total.csv,rse,46546,500,10000,1,1,0.9911,0.9713,0.9969,0.9919,1,1,0.9993,0.9446,0.9132,0,0,0,0,0,0,0,0,0,0,0,100.7886700630188
rse_total.csv,rse,46546,1000,10000,1,1,1,1,1,1,1,1,1,0.9988,0.9999,0,0,0,0,0,0,0,0,0,0,0,136.67880606651306
